Year,Month,Anomaly,Unc,Temps
1911,2,-2.28,0.363,8.44
1911,3,0.83,0.271,12.7
1911,4,-0.36,0.411,15.64
1911,5,-1.33,0.682,12.1
1911,6,-1.41,0.383,17
1911,7,-0.34,0.837,19.45
1911,8,-2.27,0.529,17.48
1911,9,-2.87,0.56,16.62
1911,10,-1.44,0.323,15.24
1911,11,-0.81,0.567,11.53
1911,12,-0.69,0.656,8.09
1912,1,0.79,0.632,9.26
1912,2,0.38,0.464,11.1
1912,3,-1.08,0.392,10.79
1912,4,-1.63,0.554,14.37
1912,5,-0.18,0.402,13.25
1912,6,0.2,0.504,18.61
1912,7,-1.43,0.694,18.36
1912,8,-1.28,0.644,18.47
1912,9,-1.12,0.513,18.37
1912,10,-2.35,0.492,14.33
1912,11,-1.05,0.758,11.29
1912,12,-0.93,0.757,7.85
1913,1,-1.91,0.235,6.56
1913,2,-0.87,0.375,9.85
1913,3,-0.78,0.273,11.09
1913,4,0.12,0.255,16.12
1913,5,0.07,0.69,13.5
1913,6,-0.93,0.543,17.48
1913,7,0.35,0.657,20.14
1913,8,1.22,0.556,20.97
1913,9,0.63,0.194,20.12
1913,10,0.01,0.59,16.69
1913,11,-0.45,0.636,11.89
1913,12,-0.74,0.933,8.04
1914,1,0.83,0.608,9.3
1914,2,-0.29,0.59,10.43
1914,3,2.39,0.482,14.26
1914,4,1.05,0.313,17.05
1914,5,-0.05,0.509,13.38
1914,6,-1.15,0.369,17.26
1914,7,-0.95,0.535,18.84
1914,8,-0.86,0.588,18.89
1914,9,-1.93,0.624,17.56
